polytope,type,c_b_median_LVS,in_window
3181,convergent,0.4237,True
3183,convergent,0.522,True
3215,convergent,0.4608,True
1093,convergent,0.4859,True
1099,convergent,0.3701,True
1128,convergent,0.376,True
1839,convergent,0.2964,False
3662,convergent,0.5771,True
4255,convergent,0.5592,True
3214,non_convergent,1.2295,False
156,non_convergent,1.6897,False
373,non_convergent,1.5692,False
1234,non_convergent,1.6956,False
1243,non_convergent,1.6955,False
1950,non_convergent,1.6956,False
1998,non_convergent,1.5925,False
2439,non_convergent,1.6955,False
2899,non_convergent,1.5699,False
4855,non_convergent,0.6667,False
4856,non_convergent,0.7886,False
